key,severity,blur_score,blur_lap_var,blur_grad_mean,skipped_deblur,lap_var_in,lap_var_out,lap_var_delta,grad_mean_in,grad_mean_out,grad_mean_delta,intensity_in,intensity_out,intensity_delta,correction_score
140,sharp,0.24866810109233484,0.0007507581613026559,0.024791734293103218,False,0.0007507581613026559,0.0006696272175759077,-8.113094372674823e-05,0.024791734293103218,0.027078956365585327,0.002287222072482109,0.24389587342739105,0.21595245599746704,-0.02794341742992401,0.022791089781094342
148,sharp,0.19027055623882916,0.00019845935457851738,0.019007209688425064,False,0.00019845935457851738,0.0002769852289929986,7.852587441448122e-05,0.019007209688425064,0.021769696846604347,0.002762487158179283,0.25344908237457275,0.22344724833965302,-0.03000183403491974,0.027703397456207313
150,sharp,0.2560228301445022,0.0005848152795806527,0.025543801486492157,False,0.0005848152795806527,0.0006847729673609138,9.995768778026104e-05,0.025543801486492157,0.029684247449040413,0.004140445962548256,0.2553804814815521,0.2278878539800644,-0.027492627501487732,0.04150441731326282
164,sharp,0.19038770694169216,0.00028668317827396095,0.01901010237634182,False,0.00028668317827396095,0.00035722815664485097,7.054497837089002e-05,0.01901010237634182,0.021195992827415466,0.0021858904510736465,0.24309903383255005,0.2205042690038681,-0.022594764828681946,0.021929449489107355
168,sharp,0.16470419921097346,0.0003210895520169288,0.016438310965895653,False,0.0003210895520169288,0.0003097963344771415,-1.1293217539787292e-05,0.016438310965895653,0.017702758312225342,0.001264447346329689,0.2680777609348297,0.23286911845207214,-0.03520864248275757,0.012633180245757103
173,sharp,0.12382817239267752,0.00013241328997537494,0.012369575910270214,False,0.00013241328997537494,0.0001690272765699774,3.6613986594602466e-05,0.012369575910270214,0.013814452104270458,0.0014448761940002441,0.27316418290138245,0.24045178294181824,-0.03271239995956421,0.014485375926597044
192,sharp,0.13991199702286394,0.00010395691060693935,0.0139808040112257,False,0.00010395691060693935,0.00013315169780980796,2.919478720286861e-05,0.0139808040112257,0.015725260600447655,0.0017444565892219543,0.2973994314670563,0.27676257491111755,-0.02063685655593872,0.017473760679422412
217,sharp,0.2057700050645508,0.0009187129908241332,0.020485129207372665,False,0.0009187129908241332,0.0007526791305281222,-0.00016603386029601097,0.020485129207372665,0.022673601284623146,0.0021884720772504807,0.27281901240348816,0.2518729269504547,-0.020946085453033447,0.021718686912208796
219,sharp,0.20147563837235793,0.0006095128483138978,0.020086612552404404,False,0.0006095128483138978,0.0006818791152909398,7.236626697704196e-05,0.020086612552404404,0.02347753569483757,0.0033909231424331665,0.30413615703582764,0.28660497069358826,-0.01753118634223938,0.03398159769130871
225,sharp,0.14148321631364524,0.00025824340991675854,0.014122497290372849,False,0.00025824340991675854,0.0003422645095270127,8.402109961025417e-05,0.014122497290372849,0.016537997871637344,0.002415500581264496,0.22436495125293732,0.20566238462924957,-0.018702566623687744,0.024239026912255213
244,sharp,0.12117110705003142,0.0001945490948855877,0.012097655795514584,False,0.0001945490948855877,0.00020864253747276962,1.4093442587181926e-05,0.012097655795514584,0.01398162916302681,0.001883973367512226,0.2468181550502777,0.22659476101398468,-0.02022339403629303,0.018853827117709443
249,sharp,0.09497942850430263,8.101091225398704e-05,0.009489841759204865,False,8.101091225398704e-05,0.00012155145668657497,4.054054443258792e-05,0.009489841759204865,0.01085585355758667,0.0013660117983818054,0.2300640493631363,0.2155115008354187,-0.01455254852771759,0.013700658528250642
253,sharp,0.09640945962746628,0.00014552756329067051,0.00962639320641756,False,0.00014552756329067051,0.00017494136409368366,2.9413800803013146e-05,0.00962639320641756,0.010857752524316311,0.0012313593178987503,0.24893583357334137,0.2331908494234085,-0.01574498414993286,0.012343006979790516
256,sharp,0.19404063862748444,0.0006684002000838518,0.01933722384274006,False,0.0006684002000838518,0.0006821881397627294,1.3787939678877592e-05,0.01933722384274006,0.021673202514648438,0.0023359786719083786,0.2692972719669342,0.24518464505672455,-0.024112626910209656,0.023373574658762664
257,sharp,0.13664539629826322,0.00019071350106969476,0.013645468279719353,False,0.00019071350106969476,0.0002395862975390628,4.887279646936804e-05,0.013645468279719353,0.01574520766735077,0.0020997393876314163,0.2637636363506317,0.24036967754364014,-0.023393958806991577,0.02104626667278353
262,sharp,0.09269451058207778,8.62245142343454e-05,0.009260828606784344,False,8.62245142343454e-05,8.274917490780354e-05,-3.475339326541871e-06,0.009260828606784344,0.01085527054965496,0.001594441942870617,0.26960331201553345,0.25043341517448425,-0.019169896841049194,0.015940944089379627
263,sharp,0.09314067072409671,0.00011690302926581353,0.00930237676948309,False,0.00011690302926581353,7.103898678906262e-05,-4.586404247675091e-05,0.00930237676948309,0.01068203803151846,0.0013796612620353699,0.2833766043186188,0.26346132159233093,-0.019915282726287842,0.013750748577876948
278,sharp,0.1496227906027343,0.00026014455943368375,0.014936264604330063,False,0.00026014455943368375,0.0003255648189224303,6.542025948874652e-05,0.014936264604330063,0.017445525154471397,0.0025092605501413345,0.3125731945037842,0.27853038907051086,-0.034042805433273315,0.025158025760902092
316,sharp,0.1769197523535695,0.00031145065440796316,0.017660830169916153,False,0.00031145065440796316,0.0004624503490049392,0.00015099969459697604,0.017660830169916153,0.021727191284298897,0.004066361114382744,0.3336935043334961,0.30833864212036133,-0.025354862213134766,0.040814610838424414
329,sharp,0.2661917147343047,0.000735574692953378,0.026545614004135132,False,0.000735574692953378,0.0011512066703289747,0.00041563197737559676,0.026545614004135132,0.034872643649578094,0.008327029645442963,0.38075464963912964,0.36815986037254333,-0.012594789266586304,0.08368592843180522
349,sharp,0.1910143244313076,0.00024757266510277987,0.019076675176620483,False,0.00024757266510277987,0.0003735054051503539,0.00012593274004757404,0.019076675176620483,0.024025438353419304,0.0049487631767988205,0.39582115411758423,0.3820633292198181,-0.013757824897766113,0.04961356450803578
